Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
229837,6,1,1,82,34,10050,4,14,2,58675,125000,1,14,36,85,34,73,2,58,16,19,1,2,2016-02-17,2018-11-02,2016-02-17,2018-10-16
229916,2,2,1,83,55,20315,6,11,2,81443,110413,1,4,24,86,59,74,44,59,1,1,1,2,2016-02-19,2018-11-02,2016-02-19,2018-10-16
229916,2,1,1,83,55,20315,6,11,2,81443,110413,1,4,24,86,59,74,44,59,1,1,1,2,2016-02-19,2018-11-02,2016-02-19,2018-10-16
230490,3,2,1,84,56,13621,5,14,2,55556,82776,1,5,52,87,60,75,2,38,34,1,1,6,2016-02-03,2018-11-02,2016-03-18,2018-10-16
230490,3,1,1,84,56,13621,5,14,2,55556,82776,1,5,52,87,60,75,2,38,34,1,1,6,2016-02-03,2018-11-02,2016-03-18,2018-10-16
230974,9,2,10,85,57,52408,3,20,2,66000,89008,1,21,53,88,61,76,45,32,1,1,1,1,2016-08-04,2018-11-02,2016-08-04,2018-10-16
230974,9,1,10,85,57,52408,3,20,2,66000,89008,1,21,53,88,61,76,45,32,1,1,1,1,2016-08-04,2018-11-02,2016-08-04,2018-10-16
231077,2,2,1,8,17,22427,1,11,2,61237,88686,1,9,54,89,51,77,2,59,1,1,1,2,2016-03-25,2018-11-02,2016-07-27,2018-10-16
231077,2,1,1,8,17,22427,1,11,2,61237,88686,1,9,54,89,51,77,2,59,1,1,1,2,2016-03-25,2018-11-02,2016-07-27,2018-10-16
231945,9,1,11,86,58,56058,3,26,2,48895,75900,1,21,55,90,62,78,46,32,1,1,1,1,2016-02-26,2018-11-02,2016-06-29,2018-10-16
231945,9,2,11,86,58,56058,3,26,2,48895,75900,1,21,55,90,62,78,46,32,1,1,1,1,2016-02-26,2018-11-02,2016-06-29,2018-10-16
232338,6,2,1,87,59,13652,8,14,2,87203,120000,1,19,32,91,63,79,47,60,20,15,1,2,2016-02-23,2018-11-02,2016-02-23,2018-10-16
232338,6,1,1,87,59,13652,8,14,2,87203,120000,1,19,32,91,63,79,47,60,20,15,1,2,2016-02-23,2018-11-02,2016-02-23,2018-10-16
